## htsjdk.samtools.metrics.StringHeader
# picard.analysis.CollectWgsMetrics INPUT=out___/s_RA17_22_4_1.bam OUTPUT=out___/s_RA17_22_4_1___WGS.txt REFERENCE_SEQUENCE=/ifs/depot/assemblies/H.sapiens/b37/index/bwa/0.7.12/b37.fasta TMP_DIR=[/scratch/socci] VALIDATION_STRINGENCY=SILENT    MINIMUM_MAPPING_QUALITY=20 MINIMUM_BASE_QUALITY=20 COVERAGE_CAP=250 STOP_AFTER=-1 INCLUDE_BQ_HISTOGRAM=false VERBOSITY=INFO QUIET=false COMPRESSION_LEVEL=5 MAX_RECORDS_IN_RAM=500000 CREATE_INDEX=false CREATE_MD5_FILE=false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Jan 24 01:34:47 EST 2018

## METRICS CLASS	picard.analysis.CollectWgsMetrics$WgsMetrics
GENOME_TERRITORY	MEAN_COVERAGE	SD_COVERAGE	MEDIAN_COVERAGE	MAD_COVERAGE	PCT_EXC_MAPQ	PCT_EXC_DUPE	PCT_EXC_UNPAIRED	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_CAPPED	PCT_EXC_TOTAL	PCT_5X	PCT_10X	PCT_15X	PCT_20X	PCT_25X	PCT_30X	PCT_40X	PCT_50X	PCT_60X	PCT_70X	PCT_80X	PCT_90X	PCT_100X
2900434419	103.025387	25.757437	105	11	0.040346	0	0.00042	0.018981	0.042037	0.015439	0.117223	0.980079	0.978168	0.976654	0.975307	0.974027	0.972739	0.969939	0.96625	0.960484	0.947338	0.909544	0.811811	0.621526

## HISTOGRAM	java.lang.Integer
coverage	count
0	49314468
1	3292124
2	2093804
3	1654168
4	1424012
5	1269282
6	1169033
7	1093451
8	1029768
9	980914
10	933941
11	902220
12	874120
13	852741
14	830492
15	809828
16	787990
17	777683
18	769953
19	759278
20	749554
21	746157
22	742762
23	739789
24	736255
25	737609
26	741141
27	747070
28	752216
29	756281
30	761762
31	767587
32	774988
33	784193
34	796102
35	811517
36	826082
37	844677
38	867795
39	887278
40	913505
41	943984
42	973936
43	1007475
44	1041111
45	1078483
46	1118571
47	1161306
48	1207132
49	1254602
50	1306301
51	1363018
52	1426931
53	1498587
54	1579088
55	1671072
56	1772775
57	1891025
58	2028190
59	2187430
60	2369540
61	2581812
62	2827977
63	3108050
64	3436441
65	3807951
66	4226528
67	4703265
68	5234167
69	5831378
70	6497366
71	7241081
72	8070563
73	8985673
74	9994105
75	11102299
76	12315100
77	13651398
78	15096593
79	16667158
80	18383049
81	20225166
82	22220313
83	24348566
84	26628197
85	29024339
86	31567873
87	34235817
88	36993705
89	39838961
90	42739414
91	45671326
92	48618841
93	51523034
94	54350862
95	57073003
96	59645676
97	62012084
98	64188577
99	66085919
100	67702030
101	69008277
102	69983373
103	70635142
104	70930632
105	70856562
106	70425299
107	69710645
108	68614079
109	67238683
110	65608603
111	63710583
112	61616661
113	59333812
114	56927643
115	54425672
116	51849103
117	49224651
118	46573901
119	43947695
120	41345536
121	38812751
122	36334303
123	33952081
124	31652100
125	29452042
126	27362576
127	25367183
128	23504767
129	21745480
130	20080318
131	18527942
132	17081438
133	15725998
134	14465392
135	13272630
136	12177922
137	11152205
138	10206777
139	9329336
140	8516325
141	7762238
142	7073822
143	6433590
144	5845169
145	5299314
146	4803268
147	4347760
148	3930500
149	3550195
150	3205568
151	2893561
152	2606641
153	2345796
154	2112453
155	1900210
156	1708548
157	1537546
158	1384770
159	1245132
160	1121843
161	1009069
162	913896
163	828206
164	748426
165	681424
166	621328
167	565329
168	517993
169	474738
170	434491
171	400918
172	370116
173	343869
174	320132
175	297702
176	278341
177	260596
178	247039
179	231883
180	218711
181	208509
182	198155
183	189409
184	180594
185	173893
186	167279
187	161238
188	155667
189	150592
190	147069
191	142389
192	138981
193	135666
194	132262
195	129255
196	126966
197	124052
198	122469
199	119522
200	117062
201	114859
202	113368
203	111731
204	110355
205	108566
206	106086
207	104487
208	102984
209	101892
210	100439
211	99052
212	97740
213	96417
214	94485
215	93122
216	91261
217	90540
218	89007
219	87613
220	85944
221	84629
222	83469
223	82139
224	80942
225	79305
226	78488
227	76969
228	76564
229	75251
230	74385
231	73368
232	72521
233	70901
234	70261
235	69737
236	68218
237	67945
238	67047
239	66327
240	65407
241	64607
242	63956
243	63000
244	62353
245	61560
246	60935
247	59643
248	58788
249	58082
250	6378592

